fwer,sensitivity,sm_sigma,snr,n_subj,method
0.045,0.1825221238938053,0.25,0.5,30,clusterwise_perm
0.08,0.7399115044247787,0.25,0.75,30,clusterwise_perm
0.09,0.9736725663716812,0.25,1.0,30,clusterwise_perm
0.06,0.9991592920353982,0.25,1.25,30,clusterwise_perm
0.065,0.9999557522123894,0.25,1.5,30,clusterwise_perm
0.11,1.0,0.25,1.75,30,clusterwise_perm
0.075,1.0,0.25,2.0,30,clusterwise_perm
0.095,1.0,0.25,2.25,30,clusterwise_perm
0.115,1.0,0.25,2.5,30,clusterwise_perm
0.08,1.0,0.25,2.75,30,clusterwise_perm
0.09,1.0,0.25,3.0,30,clusterwise_perm
0.02,0.0,0.25,0.0,45,clusterwise_perm
0.02,8.849557522123894e-05,0.25,0.1,45,clusterwise_perm
0.05,0.0111946902654867,0.25,0.25,45,clusterwise_perm
0.05,0.4925663716814159,0.25,0.5,45,clusterwise_perm
0.045,0.9518141592920354,0.25,0.75,45,clusterwise_perm
0.1,0.9991592920353984,0.25,1.0,45,clusterwise_perm
0.08,1.0,0.25,1.25,45,clusterwise_perm
0.085,1.0,0.25,1.5,45,clusterwise_perm
0.065,1.0,0.25,1.75,45,clusterwise_perm
0.105,1.0,0.25,2.0,45,clusterwise_perm
0.08,1.0,0.25,2.25,45,clusterwise_perm
0.09,1.0,0.25,2.5,45,clusterwise_perm
0.07,1.0,0.25,2.75,45,clusterwise_perm
0.075,1.0,0.25,3.0,45,clusterwise_perm
0.045,8.849557522123894e-05,0.25,0.0,60,clusterwise_perm
0.01,0.0003539823008849,0.25,0.1,60,clusterwise_perm
0.04,0.0280530973451327,0.25,0.25,60,clusterwise_perm
0.085,0.7135398230088495,0.25,0.5,60,clusterwise_perm
0.085,0.9942035398230088,0.25,0.75,60,clusterwise_perm
0.135,1.0,0.25,1.0,60,clusterwise_perm
0.12,1.0,0.25,1.25,60,clusterwise_perm
0.07,1.0,0.25,1.5,60,clusterwise_perm
0.07,1.0,0.25,1.75,60,clusterwise_perm
0.05,1.0,0.25,2.0,60,clusterwise_perm
0.09,1.0,0.25,2.25,60,clusterwise_perm
0.12,1.0,0.25,2.5,60,clusterwise_perm
0.1,1.0,0.25,2.75,60,clusterwise_perm
0.11,1.0,0.25,3.0,60,clusterwise_perm
0.0,0.0,0.5,0.0,2,clusterwise_perm
0.0,0.0,0.5,0.1,2,clusterwise_perm
0.0,0.0,0.5,0.25,2,clusterwise_perm
0.0,0.0,0.5,0.5,2,clusterwise_perm
0.0,0.0,0.5,0.75,2,clusterwise_perm
0.0,0.0,0.5,1.0,2,clusterwise_perm
0.0,0.0,0.5,1.25,2,clusterwise_perm
0.0,0.0,0.5,1.5,2,clusterwise_perm
0.0,0.0,0.5,1.75,2,clusterwise_perm
0.0,0.0,0.5,2.0,2,clusterwise_perm
0.0,0.0,0.5,2.25,2,clusterwise_perm
0.0,0.0,0.5,2.5,2,clusterwise_perm
0.0,0.0,0.5,2.75,2,clusterwise_perm
0.0,0.0,0.5,3.0,2,clusterwise_perm
0.005,0.0,0.5,0.0,5,clusterwise_perm
0.0,0.0,0.5,0.1,5,clusterwise_perm
0.02,0.0,0.5,0.25,5,clusterwise_perm
0.015,0.0003254437869822,0.5,0.5,5,clusterwise_perm
0.02,0.0008579881656804,0.5,0.75,5,clusterwise_perm
0.01,0.0065976331360946,0.5,1.0,5,clusterwise_perm
0.01,0.0185502958579881,0.5,1.25,5,clusterwise_perm
0.005,0.0381952662721893,0.5,1.5,5,clusterwise_perm
0.015,0.0878698224852071,0.5,1.75,5,clusterwise_perm
0.015,0.1410650887573964,0.5,2.0,5,clusterwise_perm
0.005,0.1607988165680473,0.5,2.25,5,clusterwise_perm
0.015,0.1793491124260354,0.5,2.5,5,clusterwise_perm
0.015,0.2081656804733727,0.5,2.75,5,clusterwise_perm
0.015,0.2162426035502958,0.5,3.0,5,clusterwise_perm
0.025,0.0,0.5,0.0,7,clusterwise_perm
0.03,8.875739644970414e-05,0.5,0.1,7,clusterwise_perm
0.02,0.0001183431952662,0.5,0.25,7,clusterwise_perm
0.04,0.0029289940828402,0.5,0.5,7,clusterwise_perm
0.035,0.0298816568047337,0.5,0.75,7,clusterwise_perm
0.015,0.1239644970414201,0.5,1.0,7,clusterwise_perm
0.005,0.285207100591716,0.5,1.25,7,clusterwise_perm
0.035,0.4402071005917159,0.5,1.5,7,clusterwise_perm
0.025,0.5382544378698225,0.5,1.75,7,clusterwise_perm
0.02,0.610828402366864,0.5,2.0,7,clusterwise_perm
0.03,0.6273076923076922,0.5,2.25,7,clusterwise_perm
0.03,0.640887573964497,0.5,2.5,7,clusterwise_perm
0.025,0.641508875739645,0.5,2.75,7,clusterwise_perm
0.025,0.6513609467455622,0.5,3.0,7,clusterwise_perm
0.02,0.0,0.5,0.0,10,clusterwise_perm
0.025,0.0,0.5,0.1,10,clusterwise_perm
0.005,0.0005029585798816,0.5,0.25,10,clusterwise_perm
0.02,0.0170118343195266,0.5,0.5,10,clusterwise_perm
0.01,0.1685207100591716,0.5,0.75,10,clusterwise_perm
0.01,0.4163313609467455,0.5,1.0,10,clusterwise_perm
0.01,0.5825147928994082,0.5,1.25,10,clusterwise_perm
0.015,0.6486094674556213,0.5,1.5,10,clusterwise_perm
0.005,0.6683431952662723,0.5,1.75,10,clusterwise_perm
0.015,0.6734615384615384,0.5,2.0,10,clusterwise_perm
0.01,0.6761242603550298,0.5,2.25,10,clusterwise_perm
0.02,0.6791715976331361,0.5,2.5,10,clusterwise_perm
0.005,0.681301775147929,0.5,2.75,10,clusterwise_perm
0.01,0.6860059171597633,0.5,3.0,10,clusterwise_perm
0.025,0.0,0.5,0.0,15,clusterwise_perm
0.01,5.9171597633136094e-05,0.5,0.1,15,clusterwise_perm
0.005,0.0027514792899408,0.5,0.25,15,clusterwise_perm
0.005,0.1099408284023668,0.5,0.5,15,clusterwise_perm
0.005,0.4467751479289941,0.5,0.75,15,clusterwise_perm
0.0,0.6281952662721894,0.5,1.0,15,clusterwise_perm
0.01,0.6667455621301775,0.5,1.25,15,clusterwise_perm
0.005,0.6732544378698225,0.5,1.5,15,clusterwise_perm
0.015,0.6770118343195267,0.5,1.75,15,clusterwise_perm
0.015,0.6815976331360946,0.5,2.0,15,clusterwise_perm
0.01,0.6869822485207101,0.5,2.25,15,clusterwise_perm
0.015,0.6945562130177515,0.5,2.5,15,clusterwise_perm
0.0,0.7003846153846155,0.5,2.75,15,clusterwise_perm
0.025,0.7128994082840237,0.5,3.0,15,clusterwise_perm
0.01,0.0,0.5,0.0,20,clusterwise_perm
0.0,0.0,0.5,0.1,20,clusterwise_perm
0.01,0.0074260355029585,0.5,0.25,20,clusterwise_perm
0.015,0.257869822485207,0.5,0.5,20,clusterwise_perm
0.01,0.5875739644970415,0.5,0.75,20,clusterwise_perm
0.005,0.6663905325443786,0.5,1.0,20,clusterwise_perm
0.0,0.6745562130177515,0.5,1.25,20,clusterwise_perm
0.005,0.6790532544378698,0.5,1.5,20,clusterwise_perm
0.025,0.6829585798816568,0.5,1.75,20,clusterwise_perm
0.005,0.6922781065088758,0.5,2.0,20,clusterwise_perm
0.02,0.6999704142011833,0.5,2.25,20,clusterwise_perm
0.015,0.7137278106508876,0.5,2.5,20,clusterwise_perm
0.0,0.7266863905325444,0.5,2.75,20,clusterwise_perm
0.0,0.7379881656804733,0.5,3.0,20,clusterwise_perm
0.015,0.0,0.5,0.0,30,clusterwise_perm
0.015,0.0002662721893491,0.5,0.1,30,clusterwise_perm
0.0,0.0291124260355029,0.5,0.25,30,clusterwise_perm
0.005,0.4871597633136095,0.5,0.5,30,clusterwise_perm
0.0,0.6624556213017752,0.5,0.75,30,clusterwise_perm
