fwer,sensitivity,sm_sigma,snr,n,method
0.2,0.011485642946317104,2.25,2.5,2,voxelwise_rft
0.1,0.00031210986267166043,2.25,2.75,2,voxelwise_rft
0.15,0.00031210986267166043,2.25,3.0,2,voxelwise_rft
0.1,5.476451259583789e-05,2.5,0.0,2,voxelwise_rft
0.1,0.00010952902519167579,2.5,0.1,2,voxelwise_rft
0.25,0.00010952902519167579,2.5,0.25,2,voxelwise_rft
0.3,0.000492880613362541,2.5,0.5,2,voxelwise_rft
0.2,0.00010952902519167579,2.5,0.75,2,voxelwise_rft
0.1,0.0001642935377875137,2.5,1.0,2,voxelwise_rft
0.2,0.0003833515881708653,2.5,1.25,2,voxelwise_rft
0.05,0.0003285870755750274,2.5,1.5,2,voxelwise_rft
0.25,0.0002738225629791895,2.5,1.75,2,voxelwise_rft
0.15,0.00021905805038335157,2.5,2.0,2,voxelwise_rft
0.15,0.0002738225629791895,2.5,2.25,2,voxelwise_rft
0.15,0.00021905805038335157,2.5,2.5,2,voxelwise_rft
0.1,0.0003833515881708653,2.5,2.75,2,voxelwise_rft
0.25,0.000547645125958379,2.5,3.0,2,voxelwise_rft
0.5,0.0006243996157540827,2.75,0.0,2,voxelwise_rft
0.2,0.00038424591738712776,2.75,0.1,2,voxelwise_rft
0.25,0.0001440922190201729,2.75,0.25,2,voxelwise_rft
0.35,9.606147934678194e-05,2.75,0.5,2,voxelwise_rft
0.35,0.0007684918347742555,2.75,0.75,2,voxelwise_rft
0.05,0.0002881844380403458,2.75,1.0,2,voxelwise_rft
0.3,0.00048030739673390974,2.75,1.25,2,voxelwise_rft
0.15,0.009654178674351584,2.75,1.5,2,voxelwise_rft
0.2,0.0010566762728146013,2.75,1.75,2,voxelwise_rft
0.2,0.0008645533141210373,2.75,2.0,2,voxelwise_rft
0.25,0.00048030739673390963,2.75,2.25,2,voxelwise_rft
0.3,0.00043227665706051867,2.75,2.5,2,voxelwise_rft
0.05,0.00038424591738712776,2.75,2.75,2,voxelwise_rft
0.15,0.00048030739673390963,2.75,3.0,2,voxelwise_rft
0.3,4.336513443191674e-05,3.0,0.0,2,voxelwise_rft
0.45,0.0007805724197745013,3.0,0.1,2,voxelwise_rft
0.25,0.003469210754553339,3.0,0.25,2,voxelwise_rft
0.3,0.0005637467476149175,3.0,0.5,2,voxelwise_rft
0.35,0.0010407632263660018,3.0,0.75,2,voxelwise_rft
0.25,0.0042931483087597574,3.0,1.0,2,voxelwise_rft
0.25,0.0010407632263660016,3.0,1.25,2,voxelwise_rft
0.4,0.0010841283607979184,3.0,1.5,2,voxelwise_rft
0.05,0.00047701647875108405,3.0,1.75,2,voxelwise_rft
0.4,0.00017346053772766696,3.0,2.0,2,voxelwise_rft
0.3,0.0010841283607979184,3.0,2.25,2,voxelwise_rft
0.4,0.001951431049436253,3.0,2.5,2,voxelwise_rft
0.15,0.011838681699913268,3.0,2.75,2,voxelwise_rft
0.2,0.0006938421509106678,3.0,3.0,2,voxelwise_rft
0.0,0.0,0.0,0.0,5,voxelwise_rft
0.05,0.0,0.0,0.1,5,voxelwise_rft
0.0,0.0,0.0,0.25,5,voxelwise_rft
0.0,0.0,0.0,0.5,5,voxelwise_rft
0.0,0.0,0.0,0.75,5,voxelwise_rft
0.0,0.0,0.0,1.0,5,voxelwise_rft
0.0,0.0,0.0,1.25,5,voxelwise_rft
0.0,0.0,0.0,1.5,5,voxelwise_rft
0.05,0.0004424778761061947,0.0,1.75,5,voxelwise_rft
0.0,0.0,0.0,2.0,5,voxelwise_rft
0.05,0.003982300884955752,0.0,2.25,5,voxelwise_rft
0.0,0.0,0.0,2.5,5,voxelwise_rft
0.0,0.0008849557522123894,0.0,2.75,5,voxelwise_rft
0.05,0.001327433628318584,0.0,3.0,5,voxelwise_rft
0.0,0.0,0.1,0.0,5,voxelwise_rft
