,FWER,sensitivity,sm_sigma,snr,n_subj,method,threshold_u,FWHM
273,0.21499999999999997,,0.0,2.25,5,Clusterwise RFT,2.6,3.336279583371108
274,0.026000000000000023,,0.0,2.25,5,Clusterwise RFT,3.0,3.308253349341933
275,0.0050000000000000044,,0.0,2.25,5,Clusterwise RFT,3.2,3.349349475441729
276,0.21899999999999997,,0.0,2.25,7,Clusterwise RFT,2.6,3.334288147968027
277,0.06299999999999994,,0.0,2.25,7,Clusterwise RFT,3.0,3.331725719314324
278,0.03700000000000003,,0.0,2.25,7,Clusterwise RFT,3.2,3.344089986546592
279,0.238,,0.0,2.25,10,Clusterwise RFT,2.6,3.3407954053810043
280,0.08099999999999996,,0.0,2.25,10,Clusterwise RFT,3.0,3.315726393910125
281,0.049000000000000044,,0.0,2.25,10,Clusterwise RFT,3.2,3.3322399119244697
282,0.21799999999999997,,0.0,2.25,15,Clusterwise RFT,2.6,3.323409669699638
283,0.08399999999999996,,0.0,2.25,15,Clusterwise RFT,3.0,3.335464336452293
284,0.04300000000000004,,0.0,2.25,15,Clusterwise RFT,3.2,3.3278068472258306
285,0.21099999999999997,,0.0,2.25,20,Clusterwise RFT,2.6,3.3325413330373674
286,0.07999999999999996,,0.0,2.25,20,Clusterwise RFT,3.0,3.3306249369714056
287,0.04500000000000004,,0.0,2.25,20,Clusterwise RFT,3.2,3.3274804079856217
288,0.23399999999999999,,0.0,2.25,30,Clusterwise RFT,2.6,3.324833161641932
289,0.08099999999999996,,0.0,2.25,30,Clusterwise RFT,3.0,3.334348465721114
290,0.030000000000000027,,0.0,2.25,30,Clusterwise RFT,3.2,3.3268827277345046
291,0.22299999999999998,,0.0,2.25,45,Clusterwise RFT,2.6,3.33272330211042
292,0.07299999999999995,,0.0,2.25,45,Clusterwise RFT,3.0,3.329681251856306
293,0.03200000000000003,,0.0,2.25,45,Clusterwise RFT,3.2,3.3331378712744506
294,0.22599999999999998,,0.0,2.25,60,Clusterwise RFT,2.6,3.330993125939479
295,0.06799999999999995,,0.0,2.25,60,Clusterwise RFT,3.0,3.3304870546286813
296,0.040000000000000036,,0.0,2.25,60,Clusterwise RFT,3.2,3.3280405068042125
297,0.0,,0.0,2.5,2,Clusterwise RFT,2.6,3.322085220720432
298,0.0,,0.0,2.5,2,Clusterwise RFT,3.0,3.3173816766580506
299,0.0,,0.0,2.5,2,Clusterwise RFT,3.2,3.3385460989673166
300,0.21899999999999997,,0.0,2.5,5,Clusterwise RFT,2.6,3.319305685304276
301,0.040000000000000036,,0.0,2.5,5,Clusterwise RFT,3.0,3.345045956777465
302,0.008000000000000007,,0.0,2.5,5,Clusterwise RFT,3.2,3.3278647099727587
303,0.21599999999999997,,0.0,2.5,7,Clusterwise RFT,2.6,3.32883003383498
304,0.05800000000000005,,0.0,2.5,7,Clusterwise RFT,3.0,3.327646230726979
305,0.025000000000000022,,0.0,2.5,7,Clusterwise RFT,3.2,3.3234691654184427
306,0.23299999999999998,,0.0,2.5,10,Clusterwise RFT,2.6,3.3273668045235323
307,0.08099999999999996,,0.0,2.5,10,Clusterwise RFT,3.0,3.325101803696907
308,0.038000000000000034,,0.0,2.5,10,Clusterwise RFT,3.2,3.311969258040556
309,0.237,,0.0,2.5,15,Clusterwise RFT,2.6,3.330309024439388
310,0.07199999999999995,,0.0,2.5,15,Clusterwise RFT,3.0,3.32489055897117
311,0.05700000000000005,,0.0,2.5,15,Clusterwise RFT,3.2,3.3200190008816426
312,0.23199999999999998,,0.0,2.5,20,Clusterwise RFT,2.6,3.326705812292715
313,0.062000000000000055,,0.0,2.5,20,Clusterwise RFT,3.0,3.329874128103666
