,FWER,sensitivity,sm_sigma,snr,n_subj,method,threshold_u,FWHM
177,0.22999999999999998,,0.0,1.25,20,Clusterwise RFT,2.6,3.328025252349221
178,0.12,,0.0,1.25,20,Clusterwise RFT,3.0,3.323951103599724
179,0.030000000000000027,,0.0,1.25,20,Clusterwise RFT,3.2,3.3281631297786447
180,0.24,,0.0,1.25,30,Clusterwise RFT,2.6,3.32571035925726
181,0.06999999999999995,,0.0,1.25,30,Clusterwise RFT,3.0,3.329881906153796
182,0.050000000000000044,,0.0,1.25,30,Clusterwise RFT,3.2,3.337840690599474
183,0.18999999999999995,,0.0,1.25,45,Clusterwise RFT,2.6,3.328742727946646
184,0.08999999999999997,,0.0,1.25,45,Clusterwise RFT,3.0,3.331967656187656
185,0.040000000000000036,,0.0,1.25,45,Clusterwise RFT,3.2,3.333056665118256
186,0.18000000000000005,,0.0,1.25,60,Clusterwise RFT,2.6,3.328488257397029
187,0.050000000000000044,,0.0,1.25,60,Clusterwise RFT,3.0,3.3275850261028133
188,0.050000000000000044,,0.0,1.25,60,Clusterwise RFT,3.2,3.331373940026807
189,0.0,,0.0,1.5,2,Clusterwise RFT,2.6,3.364228720374433
190,0.0,,0.0,1.5,2,Clusterwise RFT,3.0,3.310605024382751
191,0.0,,0.0,1.5,2,Clusterwise RFT,3.2,3.3270336971860885
192,0.06000000000000005,,0.0,1.5,5,Clusterwise RFT,2.6,3.3579307014681596
193,0.0,,0.0,1.5,5,Clusterwise RFT,3.0,3.324357978129037
194,0.0,,0.0,1.5,5,Clusterwise RFT,3.2,3.338645086895676
195,0.21999999999999997,,0.0,1.5,7,Clusterwise RFT,2.6,3.337050708723009
196,0.030000000000000027,,0.0,1.5,7,Clusterwise RFT,3.0,3.339624452117826
197,0.0,,0.0,1.5,7,Clusterwise RFT,3.2,3.341402663164844
198,0.17000000000000004,,0.0,1.5,10,Clusterwise RFT,2.6,3.3228216272443194
199,0.06000000000000005,,0.0,1.5,10,Clusterwise RFT,3.0,3.337109571000853
200,0.050000000000000044,,0.0,1.5,10,Clusterwise RFT,3.2,3.336098720801309
201,0.27,,0.0,1.5,15,Clusterwise RFT,2.6,3.3268519343443086
202,0.06000000000000005,,0.0,1.5,15,Clusterwise RFT,3.0,3.328485979962806
203,0.030000000000000027,,0.0,1.5,15,Clusterwise RFT,3.2,3.3171359088353003
204,0.26,,0.0,1.5,20,Clusterwise RFT,2.6,3.330535408541151
205,0.020000000000000018,,0.0,1.5,20,Clusterwise RFT,3.0,3.332114917604879
206,0.020000000000000018,,0.0,1.5,20,Clusterwise RFT,3.2,3.331899911529599
207,0.17000000000000004,,0.0,1.5,30,Clusterwise RFT,2.6,3.323882222198298
208,0.10999999999999999,,0.0,1.5,30,Clusterwise RFT,3.0,3.330658404588702
209,0.030000000000000027,,0.0,1.5,30,Clusterwise RFT,3.2,3.3291887948794057
210,0.21999999999999997,,0.0,1.5,45,Clusterwise RFT,2.6,3.327949611549605
211,0.07999999999999996,,0.0,1.5,45,Clusterwise RFT,3.0,3.3329788920148355
212,0.030000000000000027,,0.0,1.5,45,Clusterwise RFT,3.2,3.321483233899912
213,0.26,,0.0,1.5,60,Clusterwise RFT,2.6,3.328319841185547
214,0.020000000000000018,,0.0,1.5,60,Clusterwise RFT,3.0,3.3352231604259654
215,0.030000000000000027,,0.0,1.5,60,Clusterwise RFT,3.2,3.3321225599515163
216,0.0,,0.0,1.75,2,Clusterwise RFT,2.6,3.3133121316573657
217,0.0,,0.0,1.75,2,Clusterwise RFT,3.0,3.3358909307434397
218,0.0,,0.0,1.75,2,Clusterwise RFT,3.2,3.307920174858749
219,0.12,,0.0,1.75,5,Clusterwise RFT,2.6,3.3331235185301065
220,0.010000000000000009,,0.0,1.75,5,Clusterwise RFT,3.0,3.324869812668779
221,0.0,,0.0,1.75,5,Clusterwise RFT,3.2,3.31925830276355
222,0.18000000000000005,,0.0,1.75,7,Clusterwise RFT,2.6,3.326013830700389
223,0.030000000000000027,,0.0,1.75,7,Clusterwise RFT,3.0,3.337434411094363
224,0.010000000000000009,,0.0,1.75,7,Clusterwise RFT,3.2,3.3295315890325106
225,0.15000000000000002,,0.0,1.75,10,Clusterwise RFT,2.6,3.324021811009343
226,0.050000000000000044,,0.0,1.75,10,Clusterwise RFT,3.0,3.3312493608530374
227,0.06000000000000005,,0.0,1.75,10,Clusterwise RFT,3.2,3.3357139438264665
228,0.20999999999999996,,0.0,1.75,15,Clusterwise RFT,2.6,3.3268250632476684
