fwer,sensitivity,sm_sigma,snr,n,method,u_crit
0.4213333333333333,0.0009193408499566,3.0,2.5,2,voxelwise_rft,3.742313670870313
0.3866666666666666,0.0010685169124024,3.0,2.75,2,voxelwise_rft,3.742313670870313
0.4146666666666667,0.0010384504191962,3.0,3.0,2,voxelwise_rft,3.742313670870313
0.0253333333333333,1.1799410029498524e-05,0.0,0.0,5,voxelwise_rft,4.502623379305938
0.0226666666666666,0.0,0.0,0.1,5,voxelwise_rft,4.502623379305938
0.0293333333333333,1.1799410029498524e-05,0.0,0.25,5,voxelwise_rft,4.502623379305938
0.028,3.5398230088495574e-05,0.0,0.5,5,voxelwise_rft,4.502623379305938
0.0253333333333333,4.71976401179941e-05,0.0,0.75,5,voxelwise_rft,4.502623379305938
0.0226666666666666,9.43952802359882e-05,0.0,1.0,5,voxelwise_rft,4.502623379305938
0.028,0.0002949852507374,0.0,1.25,5,voxelwise_rft,4.502623379305938
0.0226666666666666,0.0005309734513274,0.0,1.5,5,voxelwise_rft,4.502623379305938
0.0373333333333333,0.0007079646017699,0.0,1.75,5,voxelwise_rft,4.502623379305938
0.028,0.0008613569321533,0.0,2.0,5,voxelwise_rft,4.502623379305938
0.0266666666666666,0.0015103244837758,0.0,2.25,5,voxelwise_rft,4.502623379305938
0.0226666666666666,0.0026902654867256,0.0,2.5,5,voxelwise_rft,4.502623379305938
0.0333333333333333,0.003598820058997,0.0,2.75,5,voxelwise_rft,4.502623379305938
0.0386666666666666,0.0046961651917404,0.0,3.0,5,voxelwise_rft,4.502623379305938
0.036,0.0,0.1,0.0,5,voxelwise_rft,4.503141791507842
0.0226666666666666,0.0,0.1,0.1,5,voxelwise_rft,4.503141791507842
0.028,0.0,0.1,0.25,5,voxelwise_rft,4.503141791507842
0.0306666666666666,4.71976401179941e-05,0.1,0.5,5,voxelwise_rft,4.503141791507842
0.044,5.899705014749262e-05,0.1,0.75,5,voxelwise_rft,4.503141791507842
0.0253333333333333,0.0001415929203539,0.1,1.0,5,voxelwise_rft,4.503141791507842
0.0186666666666666,0.0002595870206489,0.1,1.25,5,voxelwise_rft,4.503141791507842
0.0266666666666666,0.0003421828908554,0.1,1.5,5,voxelwise_rft,4.503141791507842
0.024,0.0005191740412979,0.1,1.75,5,voxelwise_rft,4.503141791507842
