fwer,sensitivity,sm_sigma,snr,n,method,distribution
0.04533333333333334,4.881769641495043e-05,2.0,2.25,2,Bonferroni,t
0.03866666666666667,5.491990846681923e-05,2.0,2.5,2,Bonferroni,t
0.04933333333333333,8.848207475209764e-05,2.0,2.75,2,Bonferroni,t
0.04,5.491990846681923e-05,2.0,3.0,2,Bonferroni,t
0.05466666666666667,1.3413816230717639e-05,2.25,0.0,2,Bonferroni,t
0.04533333333333334,1.8779342723004694e-05,2.25,0.1,2,Bonferroni,t
0.048,2.4144869215291752e-05,2.25,0.25,2,Bonferroni,t
0.05333333333333334,1.3413816230717639e-05,2.25,0.5,2,Bonferroni,t
0.032,1.8779342723004698e-05,2.25,0.75,2,Bonferroni,t
0.037333333333333336,3.487592219986586e-05,2.25,1.0,2,Bonferroni,t
0.034666666666666665,4.8289738430583503e-05,2.25,1.25,2,Bonferroni,t
0.05333333333333334,6.975184439973174e-05,2.25,1.5,2,Bonferroni,t
0.029333333333333333,4.8289738430583503e-05,2.25,1.75,2,Bonferroni,t
0.032,6.70690811535882e-05,2.25,2.0,2,Bonferroni,t
0.04666666666666667,6.70690811535882e-05,2.25,2.25,2,Bonferroni,t
0.044,4.2924211938296446e-05,2.25,2.5,2,Bonferroni,t
0.044,6.975184439973173e-05,2.25,2.75,2,Bonferroni,t
0.048,6.438631790744466e-05,2.25,3.0,2,Bonferroni,t
0.04933333333333333,9.506833036244801e-06,2.5,0.0,2,Bonferroni,t
0.034666666666666665,2.13903743315508e-05,2.5,0.1,2,Bonferroni,t
0.04133333333333333,2.13903743315508e-05,2.5,0.25,2,Bonferroni,t
0.04933333333333333,1.6636957813428398e-05,2.5,0.5,2,Bonferroni,t
0.032,1.1883541295306e-05,2.5,0.75,2,Bonferroni,t
0.04,3.5650623885918004e-05,2.5,1.0,2,Bonferroni,t
0.04666666666666667,3.8027332144979205e-05,2.5,1.25,2,Bonferroni,t
0.04533333333333334,4.27807486631016e-05,2.5,1.5,2,Bonferroni,t
0.030666666666666665,5.941770647653e-05,2.5,1.75,2,Bonferroni,t
0.04666666666666667,5.4664289958407596e-05,2.5,2.0,2,Bonferroni,t
0.04,5.4664289958407596e-05,2.5,2.25,2,Bonferroni,t
0.034666666666666665,5.7040998217468804e-05,2.5,2.5,2,Bonferroni,t
0.04533333333333334,6.41711229946524e-05,2.5,2.75,2,Bonferroni,t
0.042666666666666665,5.4664289958407596e-05,2.5,3.0,2,Bonferroni,t
0.048,4.294149221685454e-06,2.75,0.0,2,Bonferroni,t
0.03866666666666667,8.588298443370907e-06,2.75,0.1,2,Bonferroni,t
0.056,1.717659688674181e-05,2.75,0.25,2,Bonferroni,t
0.04666666666666667,2.1470746108427265e-05,2.75,0.5,2,Bonferroni,t
0.04666666666666667,1.9323671497584538e-05,2.75,0.75,2,Bonferroni,t
0.05333333333333334,2.791196994095545e-05,2.75,1.0,2,Bonferroni,t
0.032,3.650026838432635e-05,2.75,1.25,2,Bonferroni,t
0.048,3.650026838432635e-05,2.75,1.5,2,Bonferroni,t
0.04666666666666667,4.0794417606011806e-05,2.75,1.75,2,Bonferroni,t
0.044,5.152979066022543e-05,2.75,2.0,2,Bonferroni,t
0.04933333333333333,6.870638754696724e-05,2.75,2.25,2,Bonferroni,t
0.042666666666666665,7.30005367686527e-05,2.75,2.5,2,Bonferroni,t
0.037333333333333336,7.30005367686527e-05,2.75,2.75,2,Bonferroni,t
0.04,8.803005904455178e-05,2.75,3.0,2,Bonferroni,t
0.04666666666666667,7.831620166421928e-06,3.0,0.0,2,Bonferroni,t
0.04,3.915810083210964e-06,3.0,0.1,2,Bonferroni,t
0.044,9.78952520802741e-06,3.0,0.25,2,Bonferroni,t
0.04133333333333333,1.762114537444934e-05,3.0,0.5,2,Bonferroni,t
0.04,2.741067058247675e-05,3.0,0.75,2,Bonferroni,t
0.03866666666666667,2.3494860499265785e-05,3.0,1.0,2,Bonferroni,t
0.037333333333333336,2.741067058247675e-05,3.0,1.25,2,Bonferroni,t
0.050666666666666665,3.720019579050416e-05,3.0,1.5,2,Bonferroni,t
0.04,5.286343612334802e-05,3.0,1.75,2,Bonferroni,t
0.042666666666666665,6.069505628976994e-05,3.0,2.0,2,Bonferroni,t
0.050666666666666665,4.5031815956926086e-05,3.0,2.25,2,Bonferroni,t
0.03866666666666667,4.8947626040137046e-05,3.0,2.5,2,Bonferroni,t
0.044,6.0695056289769945e-05,3.0,2.75,2,Bonferroni,t
0.04666666666666667,6.852667645619187e-05,3.0,3.0,2,Bonferroni,t
0.037333333333333336,0.0,0.0,0.0,5,Bonferroni,t
0.02266666666666667,1.1799410029498525e-05,0.0,0.1,5,Bonferroni,t
0.016,0.0,0.0,0.25,5,Bonferroni,t
0.030666666666666665,4.71976401179941e-05,0.0,0.5,5,Bonferroni,t
0.029333333333333333,5.899705014749262e-05,0.0,0.75,5,Bonferroni,t
0.034666666666666665,0.00011799410029498524,0.0,1.0,5,Bonferroni,t
0.02266666666666667,0.0002949852507374631,0.0,1.25,5,Bonferroni,t
0.028,0.0003303834808259587,0.0,1.5,5,Bonferroni,t
