fwer,sensitivity,sm_sigma,snr,n,method
0.05,0.0,1.5,0.0,5,voxelwise_rft
0.05,9.823182711198428e-05,1.5,0.1,5,voxelwise_rft
0.1,9.823182711198428e-05,1.5,0.25,5,voxelwise_rft
0.15,0.0011787819253438114,1.5,0.5,5,voxelwise_rft
0.05,0.02180746561886051,1.5,0.75,5,voxelwise_rft
0.05,0.01119842829076621,1.5,1.0,5,voxelwise_rft
0.05,0.020137524557956775,1.5,1.25,5,voxelwise_rft
0.0,0.05,1.5,1.5,5,voxelwise_rft
0.1,0.06836935166994104,1.5,1.75,5,voxelwise_rft
0.0,0.093811394891945,1.5,2.0,5,voxelwise_rft
0.1,0.1155206286836935,1.5,2.25,5,voxelwise_rft
0.1,0.1280943025540275,1.5,2.5,5,voxelwise_rft
0.05,0.14724950884086446,1.5,2.75,5,voxelwise_rft
0.1,0.16738703339882124,1.5,3.0,5,voxelwise_rft
0.05,0.0,1.75,0.0,5,voxelwise_rft
0.1,8.264462809917355e-05,1.75,0.1,5,voxelwise_rft
0.15,8.264462809917355e-05,1.75,0.25,5,voxelwise_rft
0.05,0.0031404958677685954,1.75,0.5,5,voxelwise_rft
0.15,0.006942148760330578,1.75,0.75,5,voxelwise_rft
0.0,0.019173553719008266,1.75,1.0,5,voxelwise_rft
0.05,0.0368595041322314,1.75,1.25,5,voxelwise_rft
0.1,0.05760330578512398,1.75,1.5,5,voxelwise_rft
0.2,0.08305785123966943,1.75,1.75,5,voxelwise_rft
0.1,0.10347107438016527,1.75,2.0,5,voxelwise_rft
0.15,0.13669421487603306,1.75,2.25,5,voxelwise_rft
0.05,0.15702479338842976,1.75,2.5,5,voxelwise_rft
0.1,0.1577685950413223,1.75,2.75,5,voxelwise_rft
0.1,0.17570247933884295,1.75,3.0,5,voxelwise_rft
0.15,7.173601147776183e-05,2.0,0.0,5,voxelwise_rft
0.15,0.00014347202295552367,2.0,0.1,5,voxelwise_rft
0.05,0.00014347202295552367,2.0,0.25,5,voxelwise_rft
0.05,0.0022955523672883787,2.0,0.5,5,voxelwise_rft
0.1,0.010760401721664275,2.0,0.75,5,voxelwise_rft
0.15,0.030344332855093258,2.0,1.0,5,voxelwise_rft
0.15,0.056097560975609764,2.0,1.25,5,voxelwise_rft
0.0,0.08357245337159254,2.0,1.5,5,voxelwise_rft
0.1,0.11018651362984219,2.0,1.75,5,voxelwise_rft
0.15,0.11685796269727404,2.0,2.0,5,voxelwise_rft
0.05,0.13084648493543757,2.0,2.25,5,voxelwise_rft
