fwer,sensitivity,sm_sigma,snr,n,method,distribution
0.0,0.0004424778761061947,0.25,1.25,5,Voxel-wise permutation,t
0.0,0.0004424778761061947,0.25,1.5,5,Voxel-wise permutation,t
0.05,0.0,0.25,1.75,5,Voxel-wise permutation,t
0.0,0.001327433628318584,0.25,2.0,5,Voxel-wise permutation,t
0.0,0.003982300884955752,0.25,2.25,5,Voxel-wise permutation,t
0.0,0.0035398230088495575,0.25,2.5,5,Voxel-wise permutation,t
0.05,0.007079646017699115,0.25,2.75,5,Voxel-wise permutation,t
0.0,0.010619469026548672,0.25,3.0,5,Voxel-wise permutation,t
0.05,0.0,0.5,0.0,5,Voxel-wise permutation,t
0.05,0.0,0.5,0.1,5,Voxel-wise permutation,t
0.0,0.0002958579881656805,0.5,0.25,5,Voxel-wise permutation,t
0.1,0.0002958579881656805,0.5,0.5,5,Voxel-wise permutation,t
0.1,0.0002958579881656805,0.5,0.75,5,Voxel-wise permutation,t
0.0,0.000591715976331361,0.5,1.0,5,Voxel-wise permutation,t
0.05,0.0002958579881656805,0.5,1.25,5,Voxel-wise permutation,t
0.1,0.0008875739644970415,0.5,1.5,5,Voxel-wise permutation,t
0.05,0.0002958579881656805,0.5,1.75,5,Voxel-wise permutation,t
0.05,0.007692307692307693,0.5,2.0,5,Voxel-wise permutation,t
0.1,0.004733727810650888,0.5,2.25,5,Voxel-wise permutation,t
0.05,0.006804733727810651,0.5,2.5,5,Voxel-wise permutation,t
0.1,0.010355029585798816,0.5,2.75,5,Voxel-wise permutation,t
0.0,0.016863905325443785,0.5,3.0,5,Voxel-wise permutation,t
0.05,0.0,0.75,0.0,5,Voxel-wise permutation,t
0.0,0.0,0.75,0.1,5,Voxel-wise permutation,t
0.05,0.0,0.75,0.25,5,Voxel-wise permutation,t
0.1,0.00023474178403755868,0.75,0.5,5,Voxel-wise permutation,t
0.1,0.0014084507042253522,0.75,0.75,5,Voxel-wise permutation,t
0.1,0.0007042253521126761,0.75,1.0,5,Voxel-wise permutation,t
0.0,0.002582159624413146,0.75,1.25,5,Voxel-wise permutation,t
0.0,0.002582159624413146,0.75,1.5,5,Voxel-wise permutation,t
0.0,0.004929577464788733,0.75,1.75,5,Voxel-wise permutation,t
0.0,0.012206572769953052,0.75,2.0,5,Voxel-wise permutation,t
0.05,0.004694835680751174,0.75,2.25,5,Voxel-wise permutation,t
0.05,0.019953051643192492,0.75,2.5,5,Voxel-wise permutation,t
0.05,0.017136150234741784,0.75,2.75,5,Voxel-wise permutation,t
0.0,0.03990610328638498,0.75,3.0,5,Voxel-wise permutation,t
0.05,0.0,1.0,0.0,5,Voxel-wise permutation,t
0.0,0.0,1.0,0.1,5,Voxel-wise permutation,t
0.0,0.00019157088122605362,1.0,0.25,5,Voxel-wise permutation,t
0.0,0.00038314176245210724,1.0,0.5,5,Voxel-wise permutation,t
0.1,0.0013409961685823756,1.0,0.75,5,Voxel-wise permutation,t
0.1,0.00019157088122605362,1.0,1.0,5,Voxel-wise permutation,t
0.0,0.004022988505747126,1.0,1.25,5,Voxel-wise permutation,t
0.0,0.006513409961685823,1.0,1.5,5,Voxel-wise permutation,t
0.05,0.005938697318007663,1.0,1.75,5,Voxel-wise permutation,t
0.05,0.012452107279693488,1.0,2.0,5,Voxel-wise permutation,t
0.0,0.013984674329501918,1.0,2.25,5,Voxel-wise permutation,t
0.0,0.022796934865900384,1.0,2.5,5,Voxel-wise permutation,t
0.05,0.03601532567049808,1.0,2.75,5,Voxel-wise permutation,t
0.0,0.020881226053639845,1.0,3.0,5,Voxel-wise permutation,t
0.05,0.0,1.25,0.0,5,Voxel-wise permutation,t
0.0,0.0,1.25,0.1,5,Voxel-wise permutation,t
0.15,0.0,1.25,0.25,5,Voxel-wise permutation,t
0.0,0.00034129692832764505,1.25,0.5,5,Voxel-wise permutation,t
0.0,0.0008532423208191126,1.25,0.75,5,Voxel-wise permutation,t
0.0,0.0013651877133105802,1.25,1.0,5,Voxel-wise permutation,t
